#################################
# Dataset: dataset
#################################
--------------------------------
- Model: Facenet
--------------------------------
5, 1, 0, 7, 52223, 1.9767347639985382
6, 1, 0, 6, 527587, 1.9767347639985382
5, 0, 0, 7, 559969, 1.9767347639985382
5, 2, 0, 6, 191215, 1.9767347639985382
4, 0, 0, 7, 221761, 1.9767347639985382
5, 1, 0, 7, 732103, 1.9767347639985382
5, 0, 0, 7, 307485, 1.9767347639985382
5, 0, 0, 6, 827841, 1.9767347639985382
4, 0, 0, 8, 80910, 1.9767347639985382
6, 0, 0, 6, 227201, 1.9767347639985382
